x1,x2,year,count,url
Put Your Head On My Shoulder,Paul Anka,1959,11,/paul-anka/put-your-head-on-my-shoulder/
Quarter To Three,U.S. Bonds,1961,8,/u.s.-bonds/quarter-to-three/
Quiet Village,The Exotic Sounds of Martin Denny,1959,7,/the-exotic-sounds-of-martin-denny/quiet-village/
Raindrops,Dee Clark,1961,8,/dee-clark/raindrops/
Ramblin' Rose,Nat King Cole,1962,8,/nat-king-cole/ramblin'-rose/
Red River Rock,Johnny And The Hurricanes,1959,6,/johnny-and-the-hurricanes/red-river-rock/
Release Me,"Esther Phillips ""Little Esther""",1962,4,"/esther-phillips-""little-esther""/release-me/"
Return To Sender,Elvis Presley With The Jordanaires,1962,9,/elvis-presley-with-the-jordanaires/return-to-sender/
Ride!,Dee Dee Sharp,1962,4,/dee-dee-sharp/ride!/
Rinky Dink,Baby Cortez,1962,1,/baby-cortez/rinky-dink/
Roses Are Red (My Love),Bobby Vinton,1962,10,/bobby-vinton/roses-are-red-(my-love)/
Rubber Ball,Bobby Vee,1961,5,/bobby-vee/rubber-ball/
Run To Him,Bobby Vee,1961,4,/bobby-vee/run-to-him/
Run To Him,Bobby Vee,1962,3,/bobby-vee/run-to-him/
Runaround Sue,Dion,1961,9,/dion/runaround-sue/
Runaway,Del Shannon,1961,9,/del-shannon/runaway/
Running Bear,Johnny Preston,1960,10,/johnny-preston/running-bear/
Running Scared,Roy Orbison,1961,4,/roy-orbison/running-scared/
Sad Movies (Make Me Cry),Sue Thompson,1961,5,/sue-thompson/sad-movies-(make-me-cry)/
Sailor (Your Home Is The Sea),Lolita,1960,4,/lolita/sailor-(your-home-is-the-sea)/
San Antonio Rose,Floyd Cramer,1961,1,/floyd-cramer/san-antonio-rose/
Save The Last Dance For Me,The Drifters,1960,9,/the-drifters/save-the-last-dance-for-me/
School Is Out,Gary U.S. Bonds,1961,4,/gary-u.s.-bonds/school-is-out/
Sea Of Love,Phil Phillips With The Twilights,1959,6,/phil-phillips-with-the-twilights/sea-of-love/
Sealed With A Kiss,Brian Hyland,1962,6,/brian-hyland/sealed-with-a-kiss/
Second Hand Love,Connie Francis,1962,3,/connie-francis/second-hand-love/
